token_id,rarity.rank,Background,Clothes,Earring,Eyes,Fur,Hat,Mouth
3589,6016,Gray,Bayc T Black,Silver Stud,3d,Brown,,Grin
3131,9982,Orange,,,Sleepy,Dark Brown,,Bored Unshaven
9974,1012,Aquamarine,Rainbow Suspenders,Silver Hoop,Eyepatch,Dark Brown,Seaman's Hat,Tongue Out
9973,6547,Yellow,,,Robot,Dmt,Girl's Hair Pink,Bored
9949,2468,Army Green,Guayabera,,3d,Tan,Seaman's Hat,Grin Gold Grill
9972,6302,Aquamarine,,,Hypnotized,Brown,Bunny Ears,Rage
9948,2335,Purple,Navy Striped Tee,,Bloodshot,Cream,Trippy Captain's Hat,Tongue Out
9929,3860,Army Green,Sailor Shirt,Silver Stud,Crazy,Dark Brown,Horns,Bored Unshaven
9981,1563,Blue,Sleeveless T,Silver Stud,Coins,Brown,Short Mohawk,Discomfort
9971,7340,Yellow,,Silver Hoop,Closed,Dark Brown,Cowboy Hat,Bored Cigarette
9947,1308,Purple,Sleeveless Logo T,Silver Stud,3d,Red,Girl's Hair Pink,Bored
9928,9782,Orange,Caveman Pelt,,Bored,Dark Brown,,Bored Unshaven
9887,1513,New Punk Blue,Hip Hop,Cross,Closed,Black,Bayc Hat Black,Bored
9980,3808,Blue,,Silver Stud,Heart,Golden Brown,,Bored Unshaven Party horn
9997,5840,Purple,Sailor Shirt,,Bored,Black,Halo,Grin Multicolored
9970,3691,Gray,Guayabera,Silver Stud,Bored,Tan,Girl's Hair Short,Bored Unshaven
9946,7784,New Punk Blue,,,Sad,Golden Brown,Sea Captain's Hat,Phoneme Vuh
9927,2341,Aquamarine,Black Holes T,,Closed,Cream,Ww2 Pilot Helm,Phoneme Oh
9886,6708,Army Green,Bone Necklace,,Bloodshot,Gray,Army Hat,Bored Unshaven
9979,4326,Army Green,,,Wide Eyed,White,Bunny Ears,Bored Bubblegum
9996,5725,New Punk Blue,Guayabera,Silver Hoop,3d,Dark Brown,,Dumbfounded
9969,7240,Yellow,Black T,,Heart,Dark Brown,Seaman's Hat,Bored Cigarette
9945,7662,Yellow,,,Sad,Dark Brown,Laurel Wreath,Grin
9926,4148,New Punk Blue,Work Vest,,Sleepy,Golden Brown,Fez,Discomfort
9885,771,Blue,Puffy Vest,Gold Stud,Eyepatch,Golden Brown,Army Hat,Bored Unshaven Cigarette
9978,1816,Army Green,,Silver Stud,Angry,Tan,Bayc Flipped Brim,Grin Multicolored
9995,9244,Gray,Smoking Jacket,,Closed,Pink,,Bored
9968,7020,Blue,Rainbow Suspenders,Silver Stud,Bored,Gray,,Bored Unshaven
9992,6287,Purple,Tuxedo Tee,,Bored,Cheetah,King's Crown,Bored
9925,7803,New Punk Blue,Smoking Jacket,,Coins,Blue,,Grin
9944,8617,Yellow,Navy Striped Tee,,Bored,Golden Brown,S&m Hat,Bored Unshaven
9989,1519,New Punk Blue,Vietnam Jacket,,Bored,Red,Faux Hawk,Bored Pizza
9884,5005,Gray,Lab Coat,,Sunglasses,Gray,Bowler,Bored
9994,3903,Army Green,Striped Tee,Silver Stud,Closed,Dark Brown,Vietnam Era Helmet,Bored Cigarette
9977,1924,New Punk Blue,Leather Jacket,Gold Stud,Blindfold,Golden Brown,,Jovial
9967,1961,Purple,Toga,,Sleepy,Golden Brown,Army Hat,Bored Pizza
9924,2488,Army Green,Prom Dress,Silver Stud,Wide Eyed,Golden Brown,S&m Hat,Bored
9991,4940,Blue,Vietnam Jacket,,Coins,Golden Brown,Laurel Wreath,Bored
9943,3313,Orange,Black Suit,,Wide Eyed,Brown,Beanie,Rage
9986,6090,New Punk Blue,Bayc T Black,,Bored,Brown,Vietnam Era Helmet,Phoneme Oh
9988,8245,Yellow,Hip Hop,,Sad,Black,Beanie,Bored
9883,8384,Orange,Black T,,Bored,Gray,,Tongue Out
9993,9975,Gray,,,Bored,White,,Bored
9976,5467,Gray,Stunt Jacket,Silver Stud,Bored,Dark Brown,Spinner Hat,Bored
9966,4814,Yellow,Bayc T Black,,Sleepy,Pink,Army Hat,Dumbfounded
9942,5822,Purple,,,Bloodshot,Black,Horns,Bored Unshaven Party horn
9990,1979,New Punk Blue,Sailor Shirt,Cross,Zombie,Dark Brown,Halo,Bored
9923,5666,Army Green,Prom Dress,,Bored,Black,Faux Hawk,Bored Cigarette
9987,9274,Aquamarine,,,Bored,Dmt,Horns,Bored
9882,822,Yellow,Black Holes T,Cross,Heart,Brown,,Bored Unshaven Cigar
9985,1411,Aquamarine,,Silver Hoop,Blindfold,Tan,Bayc Hat Black,Bored Cigar
9982,7353,Yellow,Sleeveless T,,Sleepy,Golden Brown,Horns,Bored Unshaven
9965,6471,Orange,Service,,3d,Golden Brown,,Rage
9975,6150,Blue,,,Scumbag,Brown,Fisherman's Hat,Bored Pipe
9984,7919,Aquamarine,,,Hypnotized,Cheetah,Bayc Flipped Brim,Bored
9983,8670,Army Green,Guayabera,,Bored,Gray,Beanie,Bored Unshaven
9941,3439,New Punk Blue,,,Bloodshot,Golden Brown,Stuntman Helmet,Bored Unshaven Dagger
9881,411,Aquamarine,Cowboy Shirt,Gold Hoop,Bored,Death Bot,Army Hat,Phoneme Vuh
9922,1726,Army Green,Sleeveless T,,Heart,Blue,Sea Captain's Hat,Bored Unshaven Pipe
9940,5083,Purple,Space Suit,,Bored,Dark Brown,Bayc Hat Black,Phoneme  ooo
