Variable,Model 2.1,Model 2.2,Model 2.3
days_since_prev,-1.051e-05 (2.62e-05),0.0016 (4.71e-05)***,0.0017 (6.41e-05)***
sold_after_30d,0.0279 (0.010)**,0.2186 (0.017)***,0.2223 (0.017)***
buyern_tscount,6.99e-06 (1.92e-06)***,6.488e-06 (3.27e-06)*,6.295e-06 (3.25e-06)*
log_buyern_total_value,0.0483 (0.003)***,0.0197 (0.006)**,0.0201 (0.006)**
log_buyern_total_gasUsed,-0.0488 (0.004)***,-0.0317 (0.007)***,-0.0309 (0.007)***
log_buyern_avg_gasPrice,0.0303 (0.008)***,0.0166 (0.013),0.0173 (0.013)
log_buyern_avg_gasLimit,0.0478 (0.010)***,0.0594 (0.018)**,0.0531 (0.017)**
log_buyern_rolling_avg_value_last10,0.0224 (0.016),0.0525 (0.027)*,0.0478 (0.027)*
log_buyern_rolling_std_value_last10,-0.0206 (0.013),-0.0399 (0.023)*,-0.0369 (0.023)
sellern_tscount,-1.446e-06 (2.09e-06),1.551e-05 (3.82e-06)***,1.554e-05 (3.79e-06)***
sellern_act_period,-1.263e-05 (1.07e-05),3.48e-05 (1.52e-05)**,3.68e-05 (1.84e-05)**
log_sellern_total_value,0.0220 (0.004)***,0.0135 (0.007)*,0.0148 (0.007)**
log_sellern_total_gasUsed,-0.0115 (0.005)*,0.0075 (0.011),0.0058 (0.011)
log_sellern_avg_gasPrice,-0.0076 (0.007),-0.1006 (0.013)***,-0.1003 (0.013)***
log_sellern_rolling_std_value_last10,0.0052 (0.005),0.0170 (0.008)**,0.0164 (0.008)**
buyern_1_tscount,1.618e-06 (1.86e-06),-7.448e-06 (4.07e-06)*,-6.646e-06 (4.04e-06)
buyern_1_act_period,2.097e-05 (1.22e-05)*,2.965e-06 (1.47e-05),-1.981e-06 (2.16e-05)
log_buyern_1_total_value,-0.0029 (0.004),-0.0395 (0.007)***,-0.0383 (0.007)***
log_buyern_1_total_gasUsed,0.0086 (0.005)*,0.0247 (0.010)**,0.0221 (0.010)**
log_buyern_1_avg_gasPrice,-0.0050 (0.003),0.0322 (0.009)***,0.0319 (0.009)***
sellern_1_tscount,-5.683e-06 (1.94e-06)**,5.709e-06 (3.62e-06),3.199e-06 (3.60e-06)
sellern_1_act_period,-1.76e-05 (8.62e-06)*,2.965e-06 (1.47e-05),3.517e-06 (1.47e-05)
log_sellern_1_total_value,-1.607e-05 (0.003),-0.0178 (0.006)**,-0.0322 (0.006)***
log_sellern_1_total_gasUsed,0.0086 (0.005)*,0.0001 (0.010),0.0146 (0.010)
