Feature,Importance
sale_1_month_2022-01,0.12465652716399889
sale_1_month_2021-08,0.11939655867469143
sale_1_month_2022-05,0.09241644748597617
sale_1_month_2022-04,0.09109382608203576
sale_1_month_2022-03,0.08813393100645815
Fur_Solid Gold,0.0690148404938917
sale_1_month_2022-11,0.056069923364639715
sale_1_month_2022-06,0.056067614078831284
sale_1_month_2021-12,0.048001466979124836
sale_1_month_2022-02,0.042469046221862
sale_1_month_2022-07,0.04154679830240313
sale_1_month_2022-12,0.03587671641889573
Fur_Trippy,0.03371332451263937
Eyes_Laser Eyes,0.02053426204248554
sale_1_month_2023-04,0.018350625387988453
sale_1_month_2023-01,0.01620074121592127
sale_1_month_2021-11,0.012358697053191441
sale_1_month_2022-09,0.0057547503046060855
Earring_Diamond Stud,0.0025099637601524475
sale_1_month_2024-10,0.0024408058377286975
Clothes_Black T,0.0015399784884425145
Hat_Beanie,0.001392129747705238
Hat_Laurel Wreath,0.0013561996284786805
Background_New Punk Blue,0.0013005479494250956
Eyes_Scumbag,0.0009777767952102903
Mouth_Grin Multicolored,0.000955346471225195
sale_1_month_2022-10,0.0009225051533740645
Clothes_Smoking Jacket,0.0007612399315648757
Hat_S&m Hat,0.0007495946872344735
Clothes_Black Suit,0.0007233481971890706
Mouth_Rage,0.0006776573928397502
Background_Army Green,0.0006713807687679964
Mouth_Dumbfounded,0.0005469586232896693
Clothes_Leather Jacket,0.0005002682281322173
Fur_Cheetah,0.00046614953704279214
Hat_Commie Hat,0.0004219356949167661
Eyes_Bored,0.0003997701530435772
Background_Blue,0.00038893614731214874
Eyes_Closed,0.0003842486442777326
Fur_Dark Brown,0.00036543309142719597
Hat_Bayc Flipped Brim,0.0003600548081902406
Clothes_Vietnam Jacket,0.00035406283186515455
Mouth_Bored Unshaven,0.00033581039662716733
Mouth_Bored Unshaven Pipe,0.0003273347692899596
Fur_Tan,0.0002980580130014235
Clothes_Biker Vest,0.0002752770165050861
Fur_Robot,0.00025844027117336656
Eyes_Coins,0.0002536969561809169
Hat_Bunny Ears,0.000253641576926703
Clothes_Tie Dye,0.00024624998446493094
Clothes_Bayc T Black,0.00023441272033019445
Fur_Golden Brown,0.00022956649614123577
Clothes_Space Suit,0.00021993295378130228
Mouth_Bored Bubblegum,0.00021688958729734834
Hat_Halo,0.00021452321246861065
Background_Yellow,0.0002014513579786508
Eyes_Blue Beams,0.0001935428969117268
Mouth_Phoneme Vuh,0.00017371494392451022
Eyes_Sad,0.00017099815428793532
Earring_Gold Stud,0.00014377219584142624
sale_1_month_2021-06,0.00013790059309021945
Hat_King's Crown,0.00013400513273476527
Earring_Silver Stud,0.00012757989938619787
Hat_Spinner Hat,0.00011852590569035436
Background_Purple,0.00011628669080578778
Mouth_Grin Diamond Grill,0.00011271581642831794
Earring_Silver Hoop,0.00010748085425724947
Clothes_Navy Striped Tee,0.00010499697141691519
Fur_Pink,0.0001045231827336471
Hat_Bayc Hat Black,9.692045964448017e-05
