Feature,Importance
sale_1_month_2021-08,0.1609085271104613
sale_1_month_2022-01,0.12090551313554149
sale_1_month_2022-03,0.07135979756873824
sale_1_month_2022-05,0.06479660174923794
sale_1_month_2022-04,0.06067362095311995
sale_1_month_2021-07,0.04404758948367943
sale_1_month_2021-12,0.04272664775348454
sale_1_month_2023-04,0.04128490474657015
sale_1_month_2021-11,0.04020684802138815
sale_1_month_2021-06,0.038877350483180466
sale_1_month_2022-11,0.0385400300788477
sale_1_month_2022-06,0.03689997281156448
sale_1_month_2021-09,0.031811272981848104
sale_1_month_2021-10,0.028881754355799708
sale_1_month_2022-02,0.0279362906982699
sale_1_month_2022-12,0.024760926450810523
sale_1_month_2022-07,0.01499643352345811
sale_1_month_2023-08,0.014915799851870462
sale_1_month_2023-10,0.014824137373271864
sale_1_month_2023-01,0.01045598723201523
sale_1_month_2022-09,0.010182055320329939
sale_1_month_2022-08,0.006383886799406302
Fur_Trippy,0.005672955572923719
Fur_Solid Gold,0.004787592701619658
sale_1_month_2024-02,0.004661531671737314
sale_1_month_2023-03,0.004025038387033421
sale_1_month_2023-02,0.003602996714811063
sale_1_month_2024-03,0.0030388928845157654
sale_1_month_2023-11,0.001831062068026841
sale_1_month_2022-10,0.0016103296971845676
Mouth_Grin Diamond Grill,0.0011874267733181462
Eyes_Laser Eyes,0.0011429214414818416
sale_1_month_2023-07,0.0010915231850945391
sale_1_month_2023-05,0.0010683319053097855
Clothes_Black Suit,0.001013408444681468
sale_1_month_2023-06,0.0008593105540288086
Mouth_Bored Unshaven Pizza,0.0008032670312365401
Eyes_Cyborg,0.0008007749122423652
Mouth_Grin Gold Grill,0.0007760845176403426
Eyes_Blue Beams,0.000747166457007878
Hat_Laurel Wreath,0.0006760847087684378
Hat_Trippy Captain's Hat,0.0005958855295649887
Mouth_Bored Unshaven,0.0005661892680665967
Hat_King's Crown,0.0005406474250512124
Mouth_Rage,0.00048790156912928846
sale_1_month_2023-09,0.0004547288422044797
Fur_Death Bot,0.0003630081488131264
Eyes_Sunglasses,0.0003496362431491432
Mouth_Bored Unshaven Pipe,0.00033317945304445093
Clothes_Tie Dye,0.00033204330888943835
Clothes_Hip Hop,0.0003155350061578702
Hat_Commie Hat,0.00030321945318384996
Hat_Bayc Hat Red,0.0002937154910879482
Eyes_Sad,0.0002877650638508893
Mouth_Grin Multicolored,0.00025428261748279346
Clothes_Vietnam Jacket,0.0002505380208651854
sale_1_month_2023-12,0.00024862511367709127
Mouth_Bored Pizza,0.0002485026594050137
Earring_Diamond Stud,0.00023258448679063607
Eyes_Coins,0.000228633243677427
Earring_Silver Hoop,0.00021390180342760953
Eyes_Heart,0.0001906048449515428
Fur_Noise,0.00018743884532361477
Fur_Robot,0.00017791696241397013
Fur_Tan,0.0001696714712385498
Mouth_Bored Unshaven Dagger,0.0001691196729338937
Fur_Brown,0.00015485086303852836
Fur_Cheetah,0.00015421333449586763
Fur_Dmt,0.00015384357656630628
Eyes_Closed,0.00014818848742333796
Clothes_Space Suit,0.00014786934629158527
Clothes_Leather Jacket,0.00014650247189873194
Clothes_Smoking Jacket,0.00014257243374753723
Hat_Bayc Flipped Brim,0.00013649520913369776
Clothes_Biker Vest,0.0001362355797697953
Clothes_Toga,0.00013037669992511312
Hat_Spinner Hat,0.0001235650946854875
Clothes_Prison Jumpsuit,0.00012230958694589908
Hat_Fisherman's Hat,0.00011961723939536309
Hat_Sushi Chef Headband,0.00011063356749747043
Fur_Gray,0.00010704007721414865
Clothes_Hawaiian,0.00010154134349944488
Eyes_Scumbag,0.00010130782215957914
Fur_Golden Brown,0.0001010276398080192
Hat_Bayc Hat Black,0.0001000377452080501
Mouth_Bored Unshaven Cigar,9.970061799627434e-05
Background_Blue,9.545526655714925e-05
Clothes_Tanktop,9.489421069838215e-05
Hat_Halo,9.45969883681972e-05
Background_Purple,9.205983167707415e-05
Clothes_Bayc T Black,8.915996728750626e-05
Background_New Punk Blue,8.814369564108006e-05
Eyes_Bored,8.798372994083736e-05
Mouth_Phoneme L,8.583026453856488e-05
Mouth_Jovial,8.145877342114804e-05
Clothes_Kings Robe,7.900991898176735e-05
Eyes_Blindfold,7.326429598086869e-05
Hat_Beanie,7.029332793239425e-05
Hat_Faux Hawk,6.924408046225074e-05
Mouth_Bored Unshaven Bubblegum,6.886325545206572e-05
Background_Army Green,6.881121579738363e-05
Fur_Blue,6.818403614528315e-05
Clothes_Black T,6.653078090869285e-05
Mouth_Bored Pipe,6.58122871264998e-05
Hat_Fez,6.456937297494108e-05
Clothes_Tweed Suit,6.424294294050047e-05
Fur_Cream,6.350493450356225e-05
Clothes_Puffy Vest,5.773604582009072e-05
Mouth_Phoneme Vuh,5.738057500885899e-05
Mouth_Phoneme Oh,5.506980548635209e-05
Clothes_Pimp Coat,5.505354917508677e-05
Background_Gray,5.4138341003774855e-05
Eyes_Robot,5.3210085062983615e-05
Fur_Dark Brown,5.168591789710772e-05
Eyes_Angry,5.062897714594535e-05
Mouth_Bored Cigarette,5.0623185357022015e-05
Eyes_Crazy,4.891016719843643e-05
Hat_Party Hat 2,4.67208672490645e-05
Mouth_Grin,4.6154458866109707e-05
Eyes_Wide Eyed,4.4276666124300265e-05
Mouth_Bored Kazoo,4.2781955913686215e-05
Clothes_Service,4.264304765146008e-05
Clothes_Stunt Jacket,4.2278123731955465e-05
Hat_Horns,4.2207893887072236e-05
Hat_Seaman's Hat,4.211866824855952e-05
Eyes_Sleepy,4.177761204991495e-05
Fur_Zombie,4.039937836462882e-05
Earring_Gold Hoop,3.99985817675781e-05
Clothes_Cowboy Shirt,3.9787222577342954e-05
Mouth_Bored Dagger,3.847699236001811e-05
Eyes_Holographic,3.824863245544187e-05
Mouth_Dumbfounded,3.6273427322695664e-05
Mouth_Bored Unshaven Party horn,3.57308957536223e-05
Earring_Silver Stud,3.508819087836777e-05
Clothes_Rainbow Suspenders,3.460066169397385e-05
Hat_Sea Captain's Hat,3.3804851592714264e-05
Mouth_Phoneme Wah,3.083463691944407e-05
Mouth_Small Grin,3.062183410293965e-05
Hat_Vietnam Era Helmet,2.8898035475620458e-05
Mouth_Bored Unshaven Kazoo,2.8806735955768707e-05
Background_Orange,2.862416717759222e-05
Clothes_Prom Dress,2.7830942152839848e-05
Eyes_Bloodshot,2.768734095846014e-05
Clothes_Striped Tee,2.7602248027488905e-05
Hat_Safari,2.753907950169261e-05
Clothes_Leather Punk Jacket,2.7269303327368095e-05
Eyes_Eyepatch,2.686175870117952e-05
Hat_Short Mohawk,2.6682346480986398e-05
Clothes_Bone Tee,2.562620818624496e-05
Background_Yellow,2.485595888816567e-05
Clothes_Navy Striped Tee,2.319548106028067e-05
Clothes_Blue Dress,2.2782607688246294e-05
Mouth_Tongue Out,2.266950257124611e-05
Clothes_Wool Turtleneck,2.119953125393127e-05
Hat_Cowboy Hat,2.0578171187170073e-05
Hat_Party Hat 1,2.0344395756754998e-05
Mouth_Bored Party Horn,2.025770363465741e-05
Clothes_Guayabera,1.924180995541499e-05
Hat_S&m Hat,1.915421003895332e-05
Earring_Gold Stud,1.8926078842047584e-05
Clothes_Lumberjack Shirt,1.8821321922397558e-05
Fur_Red,1.8689375418356345e-05
Hat_Bandana Blue,1.6936029958167025e-05
Hat_Girl's Hair Pink,1.6929163657921908e-05
Clothes_Tuxedo Tee,1.6745306460364287e-05
Mouth_Phoneme  ooo,1.631935284201428e-05
Mouth_Bored Unshaven Cigarette,1.5774331897690082e-05
Hat_Girl's Hair Short,1.5610880587823232e-05
Clothes_Sleeveless T,1.4546533314864475e-05
Mouth_Bored Cigar,1.4490387640203904e-05
Hat_Prussian Helmet,1.430821958305956e-05
Hat_Irish Boho,1.309757463916668e-05
Mouth_Discomfort,1.2925818319859772e-05
Clothes_Lab Coat,1.2286400555711547e-05
Clothes_Sleeveless Logo T,1.0945767612880739e-05
Fur_White,1.0816284682141148e-05
Fur_Pink,1.040978243215207e-05
Clothes_Caveman Pelt,1.0369242453788371e-05
Hat_Stuntman Helmet,9.790340673900019e-06
Hat_Bowler,9.74605675981551e-06
Eyes_X Eyes,9.154252250181227e-06
Clothes_Work Vest,8.340006502955118e-06
Clothes_Sailor Shirt,8.273938640582706e-06
Hat_Bunny Ears,8.025955617727994e-06
Mouth_Bored Bubblegum,7.915922785707716e-06
Clothes_Bandolier,7.701030659675871e-06
Eyes_Hypnotized,7.695024388578518e-06
Hat_Baby's Bonnet,7.37357521492754e-06
Clothes_Bone Necklace,6.772038100719586e-06
Hat_Police Motorcycle Helmet,5.66167918036789e-06
Eyes_Zombie,5.623880113381954e-06
Clothes_Black Holes T,2.9370942394443283e-06
Hat_Ww2 Pilot Helm,9.826917346105208e-07
Clothes_Bayc T Red,3.253036968449867e-07
sale_1_month_2025-02,0.0
sale_1_month_2024-04,0.0
sale_1_month_2025-03,0.0
sale_1_month_2025-01,0.0
sale_1_month_2024-12,0.0
sale_1_month_2024-11,0.0
sale_1_month_2024-09,0.0
sale_1_month_2024-01,0.0
sale_1_month_2024-05,0.0
sale_1_month_2024-08,0.0
sale_1_month_2024-07,0.0
sale_1_month_2024-06,0.0
sale_1_month_2024-10,0.0
