Feature,Importance
sale_1_month_2022-01,0.06141338
sale_1_month_2022-05,0.05125183
sale_1_month_2022-03,0.0507872
sale_1_month_2022-04,0.042926878
sale_1_month_2021-08,0.038253345
sale_1_month_2021-12,0.033203404
sale_1_month_2021-11,0.032753825
sale_1_month_2022-06,0.031192126
sale_1_month_2022-11,0.029978922
sale_1_month_2023-04,0.029003266
sale_1_month_2022-02,0.02694252
sale_1_month_2021-09,0.02663069
sale_1_month_2022-12,0.026232127
sale_1_month_2021-10,0.024077723
sale_1_month_2022-09,0.020830486
sale_1_month_2021-07,0.020069981
sale_1_month_2023-10,0.01964967
sale_1_month_2023-01,0.019512942
sale_1_month_2023-08,0.017728118
sale_1_month_2023-02,0.017183168
sale_1_month_2022-08,0.017043546
sale_1_month_2022-07,0.016787063
sale_1_month_2023-03,0.01622763
sale_1_month_2023-05,0.016029496
sale_1_month_2024-03,0.015875474
sale_1_month_2024-02,0.015665635
sale_1_month_2022-10,0.014449441
sale_1_month_2023-07,0.013765388
sale_1_month_2023-11,0.013747566
Fur_Solid Gold,0.013168816
sale_1_month_2023-12,0.012582013
sale_1_month_2023-06,0.012330548
Fur_Trippy,0.011108861
sale_1_month_2024-05,0.010046235
sale_1_month_2024-11,0.010005448
sale_1_month_2023-09,0.009937334
sale_1_month_2024-04,0.007987413
sale_1_month_2024-09,0.00789759
sale_1_month_2021-06,0.0066281985
sale_1_month_2024-01,0.006384892
sale_1_month_2024-10,0.0054616295
Clothes_Black Suit,0.0053046714
Mouth_Bored Unshaven Pizza,0.00520125
sale_1_month_2024-08,0.0050781975
sale_1_month_2024-06,0.004960955
sale_1_month_2024-12,0.004681204
Mouth_Bored Unshaven Dagger,0.0043206615
Hat_King's Crown,0.004089931
Eyes_Blue Beams,0.0040261247
Mouth_Bored Pizza,0.0039330223
sale_1_month_2025-02,0.0033858723
Eyes_Laser Eyes,0.0033272568
Hat_Trippy Captain's Hat,0.0025789912
Mouth_Grin Diamond Grill,0.0024283943
Mouth_Grin Gold Grill,0.002345886
Mouth_Grin Multicolored,0.0022306181
Fur_Cheetah,0.0020235858
Eyes_Cyborg,0.0017508661
Clothes_Hip Hop,0.0017406051
Hat_Laurel Wreath,0.0016893256
Fur_Death Bot,0.0015255861
Mouth_Bored Dagger,0.0014019165
Mouth_Bored Unshaven Party horn,0.0013978736
Mouth_Bored Unshaven Kazoo,0.0012861044
Mouth_Bored Unshaven Bubblegum,0.0012347166
Clothes_Pimp Coat,0.0011800048
Clothes_Space Suit,0.001117567
Hat_Bayc Hat Red,0.0010372251
Fur_Dmt,0.0010257723
Mouth_Rage,0.0010113264
Mouth_Bored Unshaven,0.00093238836
Mouth_Bored Unshaven Pipe,0.0009071712
Clothes_Kings Robe,0.0008955305
Fur_Noise,0.0008360565
sale_1_month_2025-03,0.000820508
Fur_Robot,0.00079635787
Mouth_Bored Kazoo,0.0007949526
Eyes_Sunglasses,0.0007886393
Mouth_Bored Bubblegum,0.00072866865
Eyes_Closed,0.00070740853
sale_1_month_2025-01,0.00067517016
Clothes_Smoking Jacket,0.00067473727
Fur_Zombie,0.00065838284
Fur_Dark Brown,0.0006279921
Mouth_Bored Unshaven Cigar,0.0005996361
Hat_Fisherman's Hat,0.0005809499
Mouth_Bored Party Horn,0.0005797632
Eyes_Coins,0.00056344684
Hat_Safari,0.00054551853
Eyes_Holographic,0.00053107174
Hat_Faux Hawk,0.00051086687
Clothes_Tweed Suit,0.00050715613
Hat_Spinner Hat,0.0005064984
Hat_Ww2 Pilot Helm,0.00050325267
Hat_Party Hat 2,0.00048849935
Eyes_Scumbag,0.00048092933
Earring_Diamond Stud,0.00047789924
sale_1_month_2024-07,0.0004745115
Clothes_Striped Tee,0.0004728379
Eyes_Sad,0.00045751545
Hat_Bayc Flipped Brim,0.00044858918
Hat_Bandana Blue,0.00044651364
Mouth_Phoneme Oh,0.00044322893
Fur_Pink,0.0004413005
Hat_Bunny Ears,0.00043519138
Hat_Commie Hat,0.00042900097
Fur_Brown,0.00042295386
Fur_Red,0.00040929046
Mouth_Grin,0.00039400798
Mouth_Phoneme Wah,0.00039340067
Clothes_Vietnam Jacket,0.00039135752
Hat_Bayc Hat Black,0.00039009663
Mouth_Phoneme  ooo,0.000388564
Eyes_Zombie,0.00038145273
Clothes_Biker Vest,0.00038124018
Hat_Short Mohawk,0.00037564515
Mouth_Bored Pipe,0.0003717324
Eyes_Crazy,0.0003695015
Hat_Fez,0.00036356837
Clothes_Toga,0.00035681514
Mouth_Jovial,0.0003554241
Hat_Baby's Bonnet,0.0003527735
Fur_Cream,0.00035071373
Clothes_Bayc T Black,0.0003452871
Hat_Party Hat 1,0.00034408987
Eyes_Bored,0.00034307197
Clothes_Tie Dye,0.00033884245
Mouth_Phoneme Vuh,0.00033882025
Mouth_Dumbfounded,0.00033562805
Earring_Silver Stud,0.00033388622
Hat_Prussian Helmet,0.0003321961
Mouth_Bored Unshaven Cigarette,0.00033166175
Hat_S&m Hat,0.0003304787
Mouth_Bored Cigar,0.00032930894
Hat_Girl's Hair Short,0.00032641887
Clothes_Tuxedo Tee,0.0003243178
Hat_Sushi Chef Headband,0.00032376774
Hat_Stuntman Helmet,0.00032285415
Eyes_Heart,0.0003211035
Fur_Blue,0.00032076912
Clothes_Bandolier,0.0003206574
Hat_Seaman's Hat,0.00031553564
Clothes_Leather Jacket,0.00031262342
Earring_Gold Hoop,0.00031040638
Eyes_Sleepy,0.00030821306
Earring_Gold Stud,0.00030692143
Mouth_Bored Cigarette,0.00030398683
Fur_White,0.00030397708
Eyes_Robot,0.0003035556
Eyes_Wide Eyed,0.00030157372
Clothes_Wool Turtleneck,0.0002976344
Earring_Silver Hoop,0.0002951186
Clothes_Stunt Jacket,0.00029255342
Fur_Golden Brown,0.00028895907
Hat_Cowboy Hat,0.000287226
Clothes_Sailor Shirt,0.00028608946
Clothes_Guayabera,0.00028361732
Hat_Halo,0.0002821515
Clothes_Lumberjack Shirt,0.00027686363
Mouth_Tongue Out,0.00027284262
Clothes_Bayc T Red,0.000271817
Clothes_Puffy Vest,0.00026782177
Hat_Sea Captain's Hat,0.00026244312
Clothes_Blue Dress,0.0002624141
Hat_Horns,0.0002621988
Hat_Beanie,0.00025834687
Eyes_Blindfold,0.00025345606
Mouth_Discomfort,0.00025331447
Eyes_X Eyes,0.00025272492
Eyes_Eyepatch,0.0002517716
Hat_Vietnam Era Helmet,0.0002515237
Fur_Gray,0.00025003657
Eyes_Angry,0.0002492572
Fur_Tan,0.00024676853
Clothes_Prison Jumpsuit,0.00024077728
Background_New Punk Blue,0.00023133153
Hat_Girl's Hair Pink,0.00022948904
Background_Army Green,0.00022905171
Eyes_Bloodshot,0.000225779
