Feature,MeanDecreaseMSE_log,Std
sale_1_month_2021-08,0.39532742969341494,0.015694486673556652
sale_1_month_2022-05,0.28749217731869037,0.024822961825129605
sale_1_month_2021-06,0.16456487625361846,0.009010328366936559
sale_1_month_2022-03,0.15996408210639002,0.012892108298305699
sale_1_month_2021-07,0.15402035297176841,0.012684073011953342
sale_1_month_2022-01,0.1414454109663061,0.00494292581174119
sale_1_month_2021-12,0.12828537588153271,0.008716067585106981
sale_1_month_2022-04,0.12567435523110382,0.014407742877429144
sale_1_month_2021-09,0.10180027123681737,0.008485658110417712
sale_1_month_2022-02,0.08792545221075831,0.00995719075556804
sale_1_month_2022-06,0.07802804791566549,0.007056891552381035
sale_1_month_2021-11,0.06271616736449966,0.008280732873943318
sale_1_month_2023-04,0.060420664171725716,0.006919863210756879
sale_1_month_2022-12,0.053200194429669875,0.005920155581288996
sale_1_month_2022-11,0.03421040285408634,0.003866995888300667
sale_1_month_2023-08,0.032406422408837794,0.0029636041765474953
sale_1_month_2022-08,0.03184141566064573,0.0013591792420330306
sale_1_month_2023-01,0.028592764760753186,0.0028082279276794475
sale_1_month_2023-10,0.02116366572794835,0.0021377627731032477
sale_1_month_2022-09,0.02085593132246586,0.002122949856830423
sale_1_month_2022-07,0.01826079620133077,0.003702036150509085
sale_1_month_2021-10,0.016426132882452836,0.004595414453881923
sale_1_month_2023-02,0.011308643932843181,0.000393907646524923
sale_1_month_2023-03,0.010337916046368401,0.0007302373394180824
sale_1_month_2024-02,0.009568583800619434,0.0007224863882718402
Fur_Trippy,0.007422466150907148,0.001541257914215367
sale_1_month_2024-03,0.004636451284755527,0.0004017104347307766
Fur_Solid Gold,0.003806973058000496,0.0018449534889695772
sale_1_month_2023-11,0.003629085771502327,0.00016528920819587167
Mouth_Grin Diamond Grill,0.0023868407366160194,0.0008825667754624184
Hat_King's Crown,0.0023157145003202817,0.0005320859273722261
sale_1_month_2023-05,0.002079204557961628,0.00016966465033514742
sale_1_month_2022-10,0.0013092320111855681,9.764469214743307e-05
Clothes_Black Suit,0.0012991686365677213,0.00040570356939389595
Eyes_Laser Eyes,0.0010895770712566588,0.0004358532416783516
sale_1_month_2023-07,0.0010759085428743986,5.085815800841098e-05
sale_1_month_2023-06,0.0010430958454757723,0.00012610982612853264
sale_1_month_2023-09,0.0008807349338101289,6.290222146703181e-05
Eyes_Blue Beams,0.0007946069799328659,0.0007640193023033332
Eyes_Cyborg,0.0007332559874477396,0.000670095629452435
Fur_Death Bot,0.0005450657571108685,0.0001669907781485994
Hat_Trippy Captain's Hat,0.0005040209176298771,0.00031178440635063056
Hat_Bayc Hat Red,0.0004737280054079418,0.00026260480615345074
Mouth_Grin Gold Grill,0.0004582406824781837,0.0003962250679639648
Mouth_Grin Multicolored,0.0004405607505541975,0.00036223521765341995
Clothes_Toga,0.00041361668833851396,0.00017762236437485988
Mouth_Bored Pizza,0.0004024444566105123,0.00018846039879829546
Fur_Noise,0.0002647341248739166,0.00010622361204885954
Mouth_Bored Unshaven Pizza,0.00023555638937428625,0.00032669516326646806
Eyes_Sunglasses,0.00019453740867546586,0.00012589381770305622
Background_Blue,0.0001816452860930129,0.00024351626003827806
Hat_Party Hat 2,0.00017651214290593799,5.994857297553818e-05
Clothes_Service,0.00016257423199588782,6.952036062440512e-05
Clothes_Puffy Vest,0.00013144840524546565,6.33508315917794e-05
Clothes_Space Suit,0.00012602317552560806,6.926929574169424e-05
Clothes_Striped Tee,0.00012172870529329471,8.769958726294614e-06
Clothes_Tie Dye,0.00011650551439039703,0.00022181458077422702
Mouth_Bored Unshaven Party horn,0.00010051511130357849,3.23897548863638e-05
Hat_Spinner Hat,9.900787156836289e-05,4.196700884768856e-05
Clothes_Pimp Coat,9.313422545380034e-05,2.0584829279754043e-05
Clothes_Vietnam Jacket,8.935372161115174e-05,0.00013627678136050866
Hat_Laurel Wreath,8.345758291021799e-05,0.000250404266482411
Hat_Bayc Flipped Brim,7.923567075749372e-05,7.613509446199353e-05
Clothes_Bayc T Black,7.849920797052823e-05,3.030140075213187e-05
Fur_Dmt,7.601700290635894e-05,7.216530886367546e-05
Hat_Sushi Chef Headband,7.453423667633241e-05,0.0001059277876616041
Fur_Gray,6.956702247407632e-05,0.00015775985738195137
Earring_Diamond Stud,6.242844526549996e-05,0.0001741018573279143
Mouth_Rage,5.808350965317843e-05,0.0002180780187940409
